sid	label	pkgname	ver	adunitshowid	mediashowid	apptype	nginxtime	ip	city	province	reqrealip	adidmd5	imeimd5	idfamd5	openudidmd5	macmd5	dvctype	model	make	ntt	carrier	os	osv	orientation	lan	h	w	ppi
195a0b75-e5f8-4f16-bc26-2e691f5458e9-1560060266921	0	170a88a12e36f8a0f1b73442304398b1	30928000	6618408bae888ad02c4e0d9bd4d88d29	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560060266905E12	180.126.80.125	盐城市	-1.0	39.96.159.162	empty	11ba07e52607a5658452260213a581c0	empty	empty	5ba1cf1efeee4f83e91f9c0adc3015e3	2.0	OPPO A57T	OPPO	2.0	46000.0	Android	6.0.1	1.0	zh-CN	640.0	360.0	0.0
83698677-b96e-4c48-8e14-545dfceca4d0-1560089440542	1	empty	NULL	10199dc8fea2e173525bc3151bd84312	3f2fc57a6e1f9c6fa4464c25cc1e88a3	319.0	1.560089440541E12	111.18.122.70	榆林市	-1.0	123.59.23.114	dd4fb60f54dbe6776416ebff91a94183	c0329c9d45d0313bc064cb5690feeb99	empty	dd4fb60f54dbe6776416ebff91a94183	056c95f763f0dca08929512f6d0f6b92	2.0	EML-AL00	HUAWEI	2.0	46000.0	android	Android_9	0.0	NULL	2159.0	1080.0	0.0
fcb1c595-0fc3-47e9-8c58-763c96d6d2ab-1560061174857	0	642c55f5d791372a5e3fdfc392b0c6f8	NULL	d0267547ad324d53078c09095c2e1148	06765782b6564446531bf6795f0fdc48	336.0	1.560061174858E12	117.171.22.179	上饶市	-1.0	119.254.201.249	empty	16b4d5d13f15de41012f25b4656aa21b	empty	empty	empty	0.0	VIVO X21I	vivo	2.0	46000.0	android	8.1.0	0.0	NULL	0.0	0.0	0.0
e798d3b9-dcf0-4386-bfc5-9816c10328cc-1560054977876	0	6b750c790b25be785b9454d28d5e6c8c	NULL	d0267547ad324d53078c09095c2e1148	06765782b6564446531bf6795f0fdc48	336.0	1.560054977875E12	117.188.39.89	遵义市	-1.0	119.254.201.249	empty	5c026cdc321b8afe87e0fdcdbabac317	empty	empty	empty	0.0	V1732T	vivo	2.0	46000.0	android	8.1.0	0.0	NULL	0.0	0.0	0.0
1d9815ad-6eaf-47fa-9f90-bd7efab3b8df-1560077501895	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	5c9468cf1be57b5c38aebee60470ce83	f4658ac564ae09266976ac30e0f8f582	221.0	1.560077501895E12	112.86.235.3	南京市	-1.0	180.163.255.198	d54e9a65f0b55da3b6bfd3a2b547a110	d239063886884be9c0d32735eced665e	empty	empty	5963d2caeb78890334ec027b04b7a241	0.0	1809-A01	NULL	2.0	46001.0	android	8.1.0	0.0	NULL	2016.0	1080.0	0.0
60e36772-9518-4b7e-a583-3ff796c1384a-1560042263230	0	b15030107319685361f4c8c0d9598cf1	NULL	4f2f5735b281a22587f22fb0aaba707e	651673a5531dde9cd40f08d09d16fe70	375.0	1.56004226323E12	223.104.247.3	宁波市	-1.0	180.163.220.47	23f7288217fc4b2d50a7519aca1ac9de	41635d1df5a445f612e3c54b5d3f1908	empty	empty	empty	0.0	OPPO R9TM	OPPO	0.0	46003.0	android	5.1	0.0	NULL	1920.0	1080.0	0.0
d2510122-9ce6-4a17-8198-9795b4cb513c-1560040103399	0	empty	4.7.5	9f1eadd9092b19bc86ee0cacde1c867f	eec946a5a66c023ec9d3b2ede5900626	265.0	1.560040103401E12	45.115.159.30	滨州市	-1.0	47.101.43.6	abcf2b158bf4cbef022df4360d557d9c	6cebcca842b10c1618a16ae1a7c1e522	empty	empty	empty	2.0	PBAT00	NULL	2.0	0.0	android	8.1	0.0	NULL	0.0	0.0	0.0
80c0a1da-0301-47e4-b88a-f4e1649bc51a-1560024774865	1	empty	8.0.7	3e853d3841fdc8e90dff51760b184f9e	f23f2adccfba773530b485740975feb2	358.0	1.560024774866E12	120.208.10.161	运城市	-1.0	60.205.171.138	6778ce2894f63acc4448b712f3fbffa5	82c1ab1b51f098256ea711612b3d8a33	empty	empty	d890a80cd8f9da10da30a7770ec1588d	2.0	OPPO	OPPO	2.0	46000.0	android	8.1.0	0.0	NULL	1520.0	720.0	0.0
c7834f29-5f95-46ca-9f9d-6c83ebb0a387-1560060812016	1	170a88a12e36f8a0f1b73442304398b1	30927000	f67a95c5c748a5bc252d3e854f8e4977	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560060812018E12	117.136.85.124	昆明市	-1.0	39.96.159.163	empty	4690eb6152c42224affd045d74b62915	empty	empty	empty	2.0	PADT00	OPPO	5.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
a5329e5d-ef6f-4eb5-9757-696c2a66d1d9-1560088985474	1	empty	5.76.2.6060	f5ab4e983042c74caddfa1921bc1895f	25ad2d02765793b229e8e468a6203269	326.0	1.560088985474E12	43.250.201.27	怀化市	-1.0	47.100.11.90	254ee66b67946194cbb5906e2713fba5	ee82081e0520706570ba6710af6d6978	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	COL-AL10	HONOR	6.0	46001.0	android	9	0.0	zh-CN	2280.0	1080.0	0.0
df889253-6562-4a4d-9208-29396e61f9ef-1560072367364	1	4aa8ff95dfa8251322e5778fd24c1a8b	5.0.17	cc3df45e0e466bab734c8d3fdba86070	afd30cfb213f41053f17826a9f4a5824	251.0	1.560072367364E12	123.122.6.6	北京市	2.0	120.27.145.202	50f2c7f3c79a3f343b8a728ceb8f29f2	8fe88d7c00ee7b82b4b292fba4acafd1	empty	empty	555def912f28f62415f5392cbcd63caf	2.0	VIVOX9I	vivo	2.0	46001.0	Android	7.1.2	0.0	zh-CN	1920.0	1080.0	0.0
acbb8a38-618e-45d3-8201-9ad1a67a823d-1560066611436	1	170a88a12e36f8a0f1b73442304398b1	30928000	f51ec99a47731ba46985a4530c923069	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560066611436E12	117.9.120.214	天津市	27.0	39.96.159.160	empty	7ad84e3471c14e3af064ee72e90f127d	empty	empty	empty	2.0	BKK AL10	HONOR	2.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
18dbc982-e5d4-4be8-a2fa-a6363d3c6ad7-1560033617411	1	empty	190516	51f02f6007e49301adb4ccb1da0fbf12	5f83d3d963b19352aff3d9b5b29fa736	273.0	1.560033617411E12	123.162.192.226	驻马店市	-1.0	117.50.21.57	ff7faf165d230e3af80279135b6ec589	9a11eca68d6e6a936aef61486c708e4e	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	3.0	HUAWEI NXT-AL10	HUAWEI	2.0	46001.0	android	7.0	0.0	zh_CN	1812.0	1080.0	0.0
1da6d528-e8cf-438f-9dcd-659044e2258e-1560091684318	1	a4279a3b769d4367f97e5a3ee819a57d	7.1.2	e93f3dfcfd53536ab8c254ebbd7f8cfd	8fab8557d62202df2da54f4c8ee1f1e8	302.0	1.560091684317E12	117.136.77.72	泰安市	-1.0	120.132.66.52	cf68ac1dd9eeac6a27a8903a9e5c8d2c	75cc920ba95bc30a775295de77facadb	empty	empty	e379c437fa18aeef745f063aab1194d8	2.0	LON-AL00	HUAWEI	6.0	46000.0	android	9	0.0	zh	1920.0	1080.0	480.0
4e67a585-0513-46e9-9ab6-c51e000fa36a-1560069098871	0	1b2dd400d095f7089e76e5cf69c7f919	NULL	01e7dda5ca1066873e7bfebdccc03416	06765782b6564446531bf6795f0fdc48	336.0	1.560069098869E12	117.136.70.60	成都市	-1.0	119.254.201.249	empty	d6a5984b52f1f07d974fbd86ca87020b	empty	empty	empty	0.0	VIVO X20	vivo	0.0	46000.0	android	8.1.0	0.0	NULL	0.0	0.0	0.0
a6d0c77d-5fb3-44d4-956b-1db6a6455519-1560056452756	0	0ff1fb05e89fd10fb480a9184c2c2d15	521000	be7b4818939482a91e3d20dfc2d3a19c	a51cf88cec32c6cd06703838c50d19ac	318.0	1.560056452755E12	113.249.212.184	重庆市	31.0	211.159.203.244	23b6b6e915dc01851c6e5ba1b5838687	19e8c895f7fa0c1e2098b4e9fa00632f	empty	d28d9b948e97965a586408c90b2a0f75	98a52148dca10f5bfa3e9150abb9a91f	2.0	MI 6	Xiaomi	2.0	46000.0	Android	8.0.0	1.0	zh-CN	1920.0	1080.0	480.0
89d8fb85-272c-4c3c-bc62-143a3fe9adee-1560067195088	0	0ff1fb05e89fd10fb480a9184c2c2d15	521000	c317c846ac9da7b89e3b1a770379e65b	a51cf88cec32c6cd06703838c50d19ac	318.0	1.560067195088E12	113.101.41.71	揭阳市	-1.0	211.159.203.243	be678e36b19da3f27d711d5761b01ef5	6f3c076f5ccd6b913eb2892339184af1	empty	d2a5bbd7463d12936e3454d96eaf7f40	61aaf93371c2445a762aa83a24912d8c	2.0	OPPO R9SK	OPPO	2.0	46000.0	Android	6.0.1	1.0	zh-CN	1920.0	1080.0	480.0
7e9f2f3d-57e0-4832-96df-4f851f7a730b-1560082445166	1	170a88a12e36f8a0f1b73442304398b1	30928000	f67a95c5c748a5bc252d3e854f8e4977	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560082445166E12	112.111.152.232	龙岩市	-1.0	39.96.159.163	empty	86a5bcac750ae17e98552448d41cd99d	empty	empty	empty	2.0	VIVO Y83	vivo	2.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
e7616814-3a91-4985-a11d-3dc4034b3968-1560060796995	1	712dd5d7985a3a37600c76aadc268e50	193	0afd6bc7a54b371ac5375925e3dd2046	7772ddbe9c3ad74efaef71bb568ead57	336.0	1.560060796994E12	58.62.166.28	广州市	-1.0	39.107.79.115	f379d4da0a4656418977e946ca7b84dc	bdac2c0065ecc17609c05b29ee7336aa	80b7787f8ecf0834e00fa0a83f9202cc	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	SM-T825C	samsung	2.0	46000.0	Android	8.0	1.0	Zh-CN	1152.0	1536.0	0.0
12f6ffab-8793-4419-9028-225560b5cd71-1560062628199	1	2477c87258c08e20d9b3d308867ae4cd	8.5.6.0	c2c317328d5ffc8b7dc543e24fa896cc	6a201781abc86a0666c3e94b6638c920	367.0	1.5600626282E12	140.243.21.155	厦门市	-1.0	124.243.219.138	6fc0b039a28d65a0e9fb31a30e0f851d	de208725f6727d680c5ccb6e6ce997a7	empty	empty	1a1b9400e4fa3ff2bf386656bd63e883	2.0	MI 6X	NULL	6.0	46000.0	android	8.1.0	0.0	cn	0.0	0.0	0.0
95731af7-bcf7-4ae9-a32b-84f9deb5e3a6-1560074068938	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	e00e9da465ddfd605e2c39aa531dc6da	f4658ac564ae09266976ac30e0f8f582	221.0	1.560074068936E12	113.75.207.153	韶关市	-1.0	180.163.220.99	5313752a282722a467ffdfdf9ee5ee53	3eed387a437bfd76111ea081002d4af7	empty	empty	a8a1b29b1aa8d08a2ed2759fc7d0696f	0.0	OPPO A59M	OPPO	2.0	46003.0	android	5.1	0.0	NULL	1280.0	720.0	0.0
1460eaac-870e-4f0d-b5d5-13503a52d7d4-1560070193513	1	170a88a12e36f8a0f1b73442304398b1	30928000	6618408bae888ad02c4e0d9bd4d88d29	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560070193511E12	117.136.86.251	西安市	-1.0	39.96.159.162	empty	946c56283498944aec2e056637d750be	empty	empty	5ba1cf1efeee4f83e91f9c0adc3015e3	2.0	VIVO X21	vivo	5.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
26326713-9c49-49ca-8d8b-17c123465f92-1560076743726	0	0ff1fb05e89fd10fb480a9184c2c2d15	521000	be7b4818939482a91e3d20dfc2d3a19c	a51cf88cec32c6cd06703838c50d19ac	318.0	1.560076743726E12	36.60.56.146	合肥市	-1.0	211.159.203.243	4a5fd97c116a006db6cc59bbee5c6617	8eff623af21e5ce769e5f9fece15eeb4	empty	d2cfd682bdb989fe7044b12e0cccf2f9	92d67b93ed584c8c373fdf9d9a0bb396	2.0	OPPO R11	OPPO	2.0	46000.0	Android	7.1.1	1.0	zh-CN	1920.0	1080.0	480.0
5c0cc55f-0510-4df1-b52a-6a47236bd80a-1560089518939	0	bb186476d2a0ae0f666d90580e83897a	5.39.0	241cedcd453eec2aa3215e714f0b8e55	14ce653743a97444f051a3fb94ddae7d	277.0	1.560089518937E12	125.73.101.170	柳州市	-1.0	123.59.48.114	58a9d06096de47e2e51b83306d265562	b692eb3f3054d5d299fecb0ac72e7670	empty	empty	7faf71b17ddc2df8b26e3313562d8c24	2.0	OPPO R9S	OPPO	2.0	46003.0	Android	6.0.1	0.0	zh-CN	1920.0	1080.0	3.0
84439bad-d8ea-45e7-98a7-d6a6ee0cd4e9-1560018919877	1	empty	2.2.1	ae3ea1765eade8fe1bf7c1628b8b60f1	dc48a526835bf9f2b843084a42359d72	318.0	1.560018919877E12	124.64.16.5	北京市	2.0	47.96.38.172	d9e07d6630ab041f48ff1b469adf18b5	bcf1405ca73af235144d084513d08b53	empty	empty	f6e02e0cd7b53e5cc6f3e4e9cdfe3ded	2.0	OC105	OPPO	6.0	46000.0	android	7.1.2	0.0	zh-CN	1920.0	1080.0	480.0
f1f571f3-66ec-4844-9910-2c8567f6f0cc-1560063356571	1	empty	5.76.2.6060	b3ab3170257b0e45bcf0469185bf3e15	25ad2d02765793b229e8e468a6203269	326.0	1.560063356571E12	182.114.224.164	南阳市	-1.0	47.100.18.3	147c9414ac3046bba089b77c4451760e	fb0a1c3d8f69b8e8c931183c1aeb9960	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	COR-AL10	HONOR	2.0	46000.0	android	9	0.0	zh-CN	2340.0	1080.0	0.0
c2a17f07-cabc-4b50-84a8-64262aeba589-1560072591202	0	empty	NULL	6f4673407b300e37cd14d4ec76520cee	3f2fc57a6e1f9c6fa4464c25cc1e88a3	319.0	1.5600725912E12	120.84.102.183	揭阳市	-1.0	123.59.23.123	b252c0f5e4d0d1f6aaf319a4ace1df28	c0a335f8c3ce869c6bd7de9826749024	empty	b252c0f5e4d0d1f6aaf319a4ace1df28	6e91ed44b4f50b959fd008774dc2bc55	2.0	PBEM00	OPPO	2.0	46000.0	android	Android_8.1.0	1.0	NULL	2340.0	1080.0	0.0
2d935e03-7860-4e0f-937f-1c59508b50f5-1560044882507	0	16b81f93f4b1a35cebbf15f07683f171	3.2.1.0524.1958	83f2ecfe65f936f5f2ed59f8e8ff1d01	eea7280e1a2313e4c2e89290b01d196c	273.0	1.560044882509E12	117.136.36.188	郑州市	-1.0	39.96.159.160	d3944afb04fd2d53794933307d3b5ea7	4a9310b27bdef977845b738fefc5fb4e	empty	empty	5ba1cf1efeee4f83e91f9c0adc3015e3	2.0	PBCM10	OPPO	6.0	46000.0	Android	8.1.0	1.0	zh-CN	2196.0	1080.0	0.0
7f815185-5762-4341-b91a-95e8f8c36c3e-1560088348590	1	a0fc8ddc2bd80a0b5a5a4e31253a4f2a	NULL	46e4c98579f76903b428ec5cc978f9f5	74131efea92f0b91102d43aed10f98e4	222.0	1.560088348602E12	43.225.208.72	大兴安岭地区	-1.0	111.230.204.68	3101a1348126d788932c305f6ba49827	d1421a10e32b2ef00ae6ff70a04be289	empty	empty	empty	2.0	PAR-AL00	huawei	2.0	46000.0	android	2.3	0.0	zh	2130.0	1080.0	0.0
0eab53b2-0a30-4971-ba76-9e6528bc6d9b-1560051603703	1	empty	5.76.2.6060	c44de6c45e712be3cdcaa63e92077b62	25ad2d02765793b229e8e468a6203269	326.0	1.560051603705E12	115.199.117.108	杭州市	-1.0	47.100.46.246	ddd34e61a920311403a2f84c5be811f8	be1b966963eab00c9a58cd27e74843b6	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	MI 9	Xiaomi	2.0	46000.0	android	9	0.0	zh-CN	2340.0	1080.0	0.0
c1ae399a-4cc4-4254-bf61-e21516bfa892-1560033056428	1	empty	5.2.1	694bc72ecd40d43d29e3eb99ec218502	50111a2cb863e781eca02194202e20de	206.0	1.560033056429E12	116.196.103.138	北京市	2.0	101.37.253.17	2a9ae0364d38f9a74f01b0f913567c74	7d0bd621b1e80204af970dd61a7f9633	empty	empty	empty	2.0	PBEM00	vivo	2.0	46000.0	android	8.1.0	0.0	zh-CN	1280.0	720.0	320.0
7d5b262c-4ea3-4bb3-b3b4-7aeb5fbf26fd-1560062731671	1	2d2664e827bcbb8b07100c7fbe072e9b	11.11.0	a3221f42435d8e10078e013fdedd154c	ca64a500000d84c8fcb8a0587d0e1e0c	280.0	1.560062731671E12	106.61.64.201	昆明市	-1.0	180.76.181.7	fb6276911079d49da844e8291f13e3f2	7734de09306483c0ac141cd50e8a2133	empty	empty	a7f2e471a8c2faa17b70fa0247d25c48	2.0	VIVO Z1I	vivo	6.0	46000.0	Android	8.1.0	0.0	zh-CN	2280.0	1080.0	3.0
76299cf7-2adf-49a6-ab08-47c1dc56b465-1560058635498	0	51ec7a98ac33500891a2eeec88fd1e7e	NULL	01e7dda5ca1066873e7bfebdccc03416	06765782b6564446531bf6795f0fdc48	336.0	1.5600586355E12	112.17.247.102	衢州市	-1.0	119.254.201.249	empty	0cc13a2581bead80b006047301e93349	empty	empty	empty	0.0	VIVO Y35	vivo	6.0	46000.0	android	5.0	0.0	NULL	0.0	0.0	0.0
71c9ec1e-3ae7-482e-94ad-a0de3ac8c50e-1560090360453	0	86051986dda96b53046cab3e83ffcaf9	NULL	3ac4ca3d52367630b78f8baf4615e343	d09c3749ab62caceae66702fe3d068a8	318.0	1.560090360452E12	1.50.221.204	银川市	-1.0	180.163.220.97	76f8db44dd6de3e3557ff861b054c9d9	5d5c27eef858b79b0c4d2a5416c981f3	empty	empty	empty	0.0	OPPO R9S	OPPO	2.0	46001.0	android	6.0.1	0.0	NULL	1920.0	1080.0	0.0
20760c7f-a221-4fab-8bd0-9f8f879bf810-1560079974885	0	8b93f2271e0e09f2ea93cc6bbbafeba8	NULL	01e7dda5ca1066873e7bfebdccc03416	06765782b6564446531bf6795f0fdc48	336.0	1.560079974884E12	110.53.37.227	湘西土家族苗族自治州	-1.0	119.254.201.249	empty	eb07492b288a3f1991eba1e128c293b6	empty	empty	empty	0.0	VIVO Y55L	vivo	2.0	46000.0	android	6.0.1	0.0	NULL	0.0	0.0	0.0
2d8fc85d-efeb-40c2-b6ce-a7fccaa513af-1560056462841	1	b47e3517e716b8aa9f11beccea486bb3	6.0.5.1	c07c73561d43a1c77ca1118d211ffb20	f9a6552931c92bfacf81ac70b67097b7	273.0	1.560056462843E12	36.4.149.186	铜陵市	-1.0	106.12.4.202	0d3c424bbac7450be52ea58d5cabdf85	732a9a9ad7bd8bbbde24562bbdd26dec	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	VTR-AL00	HUAWEI	2.0	46000.0	Android	9	0.0	zh-CN	1080.0	1920.0	480.0
3dcaf18b-627f-47c6-8e84-7f4e541c3697-1560058484787	1	empty	5.73.2.5950	c44de6c45e712be3cdcaa63e92077b62	25ad2d02765793b229e8e468a6203269	326.0	1.560058484787E12	221.192.178.204	石家庄市	-1.0	101.132.187.57	c24adeee7b67a19989d109109d628ffe	f9247ec351cb63b38faca648fefeb29e	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	JSN-AL00A	HONOR	6.0	46000.0	android	8.1.0	0.0	zh-CN	2340.0	1080.0	0.0
c867c43f-835e-4465-bf7b-3ff4613bd01f-1560071724283	1	170a88a12e36f8a0f1b73442304398b1	30928000	6618408bae888ad02c4e0d9bd4d88d29	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560071724281E12	117.136.79.65	云浮市	-1.0	39.96.159.161	empty	72ebaad805386dd2c881623577245a9c	empty	empty	5ba1cf1efeee4f83e91f9c0adc3015e3	2.0	PADM00	OPPO	5.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
8ecd89eb-4fef-4620-a6ec-8ad64237827c-1560045604357	1	170a88a12e36f8a0f1b73442304398b1	30928000	f67a95c5c748a5bc252d3e854f8e4977	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560045604357E12	180.89.97.162	福州市	-1.0	39.96.159.160	empty	efa0e3bebc9848b4679ed72dd794132e	empty	empty	empty	2.0	OPPO R11T	OPPO	2.0	46000.0	Android	8.1.0	1.0	zh-CN	640.0	360.0	0.0
391240ae-250f-4b83-8545-11ac73e6c46f-1560022196886	1	empty	5.76.2.6060	f5ab4e983042c74caddfa1921bc1895f	25ad2d02765793b229e8e468a6203269	326.0	1.560022196906E12	112.2.75.215	南京市	-1.0	106.14.150.230	5fa4f834e0da3679c015b6c08e1e0196	dad9e189c02f9b10386fc40c3347b564	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	JKM-AL00	HUAWEI	2.0	46000.0	android	9	0.0	zh-CN	2340.0	1080.0	0.0
3ab7f2ef-c0b8-4023-9e00-b9016f9e0c04-1560066002262	0	0ff1fb05e89fd10fb480a9184c2c2d15	521000	c317c846ac9da7b89e3b1a770379e65b	a51cf88cec32c6cd06703838c50d19ac	318.0	1.560066002264E12	113.14.40.169	南宁市	-1.0	211.159.203.244	e51e8905bc2901934d87fd4e64c58d3c	c292cf3b1f209e0ee6959e0d93fbcc06	empty	d672c043031bea1ecd35068e0ae8e58e	ec4477b5e0b99e33e571fd14c95e3047	2.0	OD105	smartisan	2.0	46000.0	Android	7.1.1	1.0	zh-CN	1920.0	1080.0	480.0
b217029d-40d4-4c76-a22b-db11ac5fd518-1560087973383	1	empty	5.76.2.6060	7fc0dbaa3f8115d147828a288c6bb335	25ad2d02765793b229e8e468a6203269	326.0	1.560087973384E12	119.39.21.48	长沙市	-1.0	106.14.197.56	67743a34ffaa867752c80289402896e4	355e929e231c5eb42ea78c43afa00e40	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	COL-AL10	HONOR	2.0	46000.0	android	9	0.0	zh-CN	2280.0	1080.0	0.0
715fe94f-7818-4673-b251-03452c9d1a32-1560067422736	1	empty	5.76.2.6060	b3ab3170257b0e45bcf0469185bf3e15	25ad2d02765793b229e8e468a6203269	326.0	1.560067422737E12	223.104.146.15	无锡市	-1.0	106.14.150.230	bad7f78a5e912256c396ad23ab13a73b	deb44ba4eb6570454943a9e00c95c605	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	COL-AL10	HONOR	6.0	46000.0	android	9	0.0	zh-CN	2280.0	1080.0	0.0
f1df5435-c964-4f21-904e-a82c29a4e885-1560086042907	0	empty	190605	66addfdc4e63dd1a484dcc201ddfab6c	8c3ef44582cda4f79dd55e1523487af2	273.0	1.560086042907E12	110.53.234.118	长沙市	-1.0	117.50.23.127	b26e970a008ae2a821b9b7fc7cbfa4ad	1875efd4d8c8acc542b09af058d11624	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	3.0	PADM00	OPPO	2.0	0.0	android	8.1.0	0.0	zh	2136.0	1080.0	0.0
540528ba-a644-434e-aed2-6fcd77e65cca-1560050686989	0	0ff1fb05e89fd10fb480a9184c2c2d15	521000	be7b4818939482a91e3d20dfc2d3a19c	a51cf88cec32c6cd06703838c50d19ac	318.0	1.56005068699E12	222.171.7.82	哈尔滨市	-1.0	211.159.203.236	cf60bbf60c43e6ad89d99d4cf8000a3a	9800be487f8bb48e013dda51dac4ec34	empty	a5bdda3f39f13cd158a22bd88ede2ab0	d90bc3fa6cc1e02a7d2565eae590f802	2.0	OPPO R9S PLUS	OPPO	2.0	46000.0	Android	6.0.1	1.0	zh-CN	1920.0	1080.0	480.0
2402cfed-f333-46eb-b110-8f28f649135e-1560071172222	0	empty	4.9.11	ee61b20561a729e8805267105078fb32	0c28cf2afaba3174f88e045403d45763	265.0	1.560071172224E12	180.111.169.197	南京市	-1.0	101.132.127.114	8ce594508bcb3a35ee3b75e728808bdc	0e480558a6a3cf705dcc0103f010a9ef	empty	empty	empty	2.0	PACM00	NULL	2.0	0.0	android	8.1	0.0	NULL	0.0	0.0	0.0
055657f1-6613-4ee0-b07e-99e3a4337d6a-1560066564233	1	empty	NULL	764e263ef6de06c87249d9c6094959c6	3f2fc57a6e1f9c6fa4464c25cc1e88a3	319.0	1.560066564234E12	1.84.210.94	咸阳市	-1.0	123.59.23.116	1275b4673d698692f0250528302a0a43	ea7e3bdba160c372548bfa8c85f33872	empty	1275b4673d698692f0250528302a0a43	ad6c5e0470efe8d08719604bcf846efa	2.0	SM-G9650	samsung	2.0	0.0	android	Android_9	0.0	NULL	1440.0	2907.0	0.0
8f5107e1-d3f2-4f9d-a281-cfd2af74f7f7-1560080305326	1	empty	NULL	3b0b919098d6e2cbc948b6b639d26d0a	3a731b12cd4dc1ae44154456896a673b	301.0	1.560080305326E12	223.104.1.112	中山市	-1.0	39.96.36.220	630a6583072241fac13b31a8bb0e90c4	d9fbdf59ccb8b5095f72142e65f71c52	empty	empty	d9fbdf59ccb8b5095f72142e65f71c52	2.0	HRY-AL00A	HUAWEI	3.0	46000.0	android	4.1	0.0	zh-CN	2004.0	1080.0	0.0
b547b6a5-fae5-4cc6-aa15-55d81af87399-1560057002145	1	c3928c124c66197bda97ee4f34a4767e	NULL	389b69facac0190921d39b572aa68e7e	fc5c28b3674877c00e1cff5f025d223e	281.0	1.560057002152E12	223.104.189.64	青岛市	-1.0	123.123.219.7	bd704e7f3356cba0b23d99065a77ab46	136d5f81db7cb3344b9ef297cfe8b11d	empty	empty	empty	2.0	LENOVO A938T	LENOVO	6.0	-1.0	android	7.9.2	0.0	NULL	0.0	0.0	0.0
910d2acd-f6d0-4c12-a95e-535dd29b2b7b-1560058942923	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	e00e9da465ddfd605e2c39aa531dc6da	f4658ac564ae09266976ac30e0f8f582	221.0	1.560058942924E12	125.77.68.69	福州市	-1.0	180.163.220.45	74fd7668ec2b623a98bab69c8ba9122c	a3fd38f01849cef79772c9605589b609	empty	empty	476b78f7b20ede61c1c02fa6578fa3f3	0.0	OPPO R9 PLUSM A	OPPO	2.0	46000.0	android	5.1.1	0.0	NULL	1920.0	1080.0	0.0
75453a3d-6ef1-456e-9953-0ab2e1ff45df-1560080010971	1	1045947d39ac3b562a76c599a7bfd8a1	8.10.1	6221278d4943f2ca3bce290869a7c2b7	a3321324115a89c9a1e1ee10a099e782	318.0	1.560080010971E12	223.150.74.78	常德市	-1.0	180.76.180.56	eeeb9f27d0277ea2cf199144f85ef1a8	5b6e4cf134568c81c68afb68d34ba740	empty	empty	empty	2.0	MHA-AL00	HUAWEI	2.0	46003.0	Android	9.0	0.0	zh-CN	1808.0	1080.0	326.0
4ac3aa08-2db4-4bf9-8dbe-60115371a6ce-1560070185609	0	47bfbe3c09475c594ec8fcbd7f88c2c5	NULL	01e7dda5ca1066873e7bfebdccc03416	06765782b6564446531bf6795f0fdc48	336.0	1.560070185607E12	39.181.255.41	台州市	-1.0	119.254.201.249	empty	f05d095ebc27e69ffea2faa7e8cca24b	empty	empty	empty	0.0	VIVO Y23L	vivo	2.0	46000.0	android	4.4.4	0.0	NULL	0.0	0.0	0.0
b4ee2784-9693-417f-82ac-3533d38e4905-1560089568114	0	empty	NULL	764e263ef6de06c87249d9c6094959c6	3f2fc57a6e1f9c6fa4464c25cc1e88a3	319.0	1.560089568113E12	117.136.30.120	重庆市	31.0	47.95.111.138	0068782af9c0988abf62b7625091f992	6f9fc9f03b67c33e1212bfa1ccff06b5	empty	0068782af9c0988abf62b7625091f992	3bbea90fdf86e3706c8fc0aabd4c056a	2.0	OPPO R9 PLUSTM A	OPPO	5.0	46000.0	android	Android_5.1.1	1.0	NULL	1920.0	1080.0	0.0
